CPF: 1914, Classe: saude, Prioridade: Alta, Idade: 59
CPF: 1939, Classe: saude, Prioridade: Importante, Idade: 99
CPF: 1343, Classe: saude, Prioridade: Importante, Idade: 75
CPF: 4187, Classe: saude, Prioridade: Importante, Idade: 87
CPF: 1121, Classe: saude, Prioridade: s/p, Idade: 18
CPF: 1762, Classe: saude, Prioridade: Importante, Idade: 68
CPF: 2021, Classe: saude, Prioridade: Importante, Idade: 87
CPF: 1483, Classe: saude, Prioridade: Alta, Idade: 49
CPF: 2810, Classe: saude, Prioridade: Alta, Idade: 44
CPF: 1244, Classe: saude, Prioridade: Importante, Idade: 88
CPF: 4285, Classe: saude, Prioridade: Alta, Idade: 39
CPF: 1007, Classe: saude, Prioridade: Importante, Idade: 64
CPF: 2422, Classe: saude, Prioridade: Alta, Idade: 26
CPF: 4936, Classe: saude, Prioridade: Alta, Idade: 55
CPF: 1034, Classe: saude, Prioridade: Alta, Idade: 25
CPF: 1651, Classe: saude, Prioridade: Importante, Idade: 82
CPF: 2934, Classe: saude, Prioridade: Alta, Idade: 49
CPF: 1038, Classe: saude, Prioridade: Importante, Idade: 100
CPF: 2796, Classe: saude, Prioridade: Importante, Idade: 76
CPF: 3482, Classe: saude, Prioridade: Importante, Idade: 98
CPF: 2594, Classe: saude, Prioridade: Alta, Idade: 35
CPF: 4068, Classe: saude, Prioridade: Importante, Idade: 92
CPF: 1563, Classe: saude, Prioridade: Importante, Idade: 60
CPF: 4096, Classe: saude, Prioridade: Importante, Idade: 84
CPF: 1546, Classe: saude, Prioridade: Alta, Idade: 35
CPF: 4891, Classe: saude, Prioridade: Importante, Idade: 62
CPF: 1503, Classe: saude, Prioridade: Importante, Idade: 77
CPF: 1625, Classe: saude, Prioridade: Alta, Idade: 20
CPF: 1664, Classe: saude, Prioridade: Alta, Idade: 49
CPF: 4928, Classe: saude, Prioridade: Importante, Idade: 82
CPF: 3184, Classe: saude, Prioridade: Alta, Idade: 48
CPF: 1244, Classe: saude, Prioridade: Alta, Idade: 55
CPF: 1056, Classe: saude, Prioridade: Importante, Idade: 69
CPF: 4663, Classe: saude, Prioridade: Alta, Idade: 57
CPF: 4225, Classe: saude, Prioridade: Importante, Idade: 74
CPF: 2350, Classe: saude, Prioridade: Importante, Idade: 64
CPF: 2343, Classe: saude, Prioridade: Importante, Idade: 72
CPF: 4945, Classe: saude, Prioridade: Importante, Idade: 95
CPF: 3797, Classe: saude, Prioridade: Importante, Idade: 94
CPF: 1853, Classe: saude, Prioridade: Alta, Idade: 49
CPF: 1063, Classe: saude, Prioridade: Alta, Idade: 21
CPF: 2109, Classe: saude, Prioridade: Alta, Idade: 50
CPF: 4126, Classe: saude, Prioridade: Importante, Idade: 98
CPF: 2021, Classe: saude, Prioridade: Importante, Idade: 90
CPF: 2740, Classe: saude, Prioridade: Importante, Idade: 90
CPF: 4657, Classe: saude, Prioridade: Importante, Idade: 75
CPF: 1485, Classe: saude, Prioridade: Alta, Idade: 37
CPF: 3432, Classe: saude, Prioridade: Importante, Idade: 92
CPF: 4992, Classe: saude, Prioridade: Importante, Idade: 66
CPF: 4543, Classe: saude, Prioridade: Alta, Idade: 43
CPF: 3987, Classe: saude, Prioridade: Importante, Idade: 88
CPF: 3223, Classe: saude, Prioridade: Alta, Idade: 59
CPF: 4451, Classe: saude, Prioridade: Alta, Idade: 41
CPF: 3422, Classe: saude, Prioridade: Alta, Idade: 52
CPF: 4896, Classe: saude, Prioridade: Importante, Idade: 98
CPF: 2633, Classe: saude, Prioridade: Alta, Idade: 59
CPF: 3606, Classe: saude, Prioridade: Importante, Idade: 97
CPF: 3817, Classe: saude, Prioridade: Importante, Idade: 93
CPF: 1692, Classe: saude, Prioridade: Importante, Idade: 93
CPF: 3625, Classe: saude, Prioridade: Alta, Idade: 46
CPF: 4377, Classe: saude, Prioridade: Importante, Idade: 81
CPF: 4222, Classe: saude, Prioridade: Importante, Idade: 80
CPF: 2011, Classe: saude, Prioridade: Importante, Idade: 74
CPF: 2271, Classe: saude, Prioridade: Importante, Idade: 100
CPF: 3885, Classe: saude, Prioridade: Importante, Idade: 60
CPF: 1274, Classe: saude, Prioridade: Importante, Idade: 83
CPF: 1535, Classe: saude, Prioridade: Alta, Idade: 36
CPF: 2844, Classe: saude, Prioridade: Alta, Idade: 19
CPF: 2329, Classe: saude, Prioridade: Alta, Idade: 19
CPF: 1527, Classe: saude, Prioridade: Importante, Idade: 80
CPF: 3996, Classe: saude, Prioridade: Alta, Idade: 42
CPF: 4560, Classe: saude, Prioridade: Importante, Idade: 62
CPF: 4326, Classe: saude, Prioridade: Importante, Idade: 64
CPF: 2700, Classe: saude, Prioridade: Alta, Idade: 41
CPF: 1046, Classe: saude, Prioridade: Alta, Idade: 19
CPF: 3491, Classe: saude, Prioridade: Alta, Idade: 45
CPF: 4353, Classe: saude, Prioridade: Alta, Idade: 55
CPF: 1714, Classe: saude, Prioridade: Importante, Idade: 60
CPF: 1031, Classe: saude, Prioridade: Alta, Idade: 39
CPF: 1922, Classe: saude, Prioridade: Importante, Idade: 89
CPF: 1802, Classe: saude, Prioridade: Alta, Idade: 48
CPF: 2274, Classe: saude, Prioridade: s/p, Idade: 18
CPF: 2972, Classe: saude, Prioridade: Alta, Idade: 26
CPF: 2031, Classe: saude, Prioridade: Alta, Idade: 48
CPF: 4964, Classe: saude, Prioridade: Alta, Idade: 20
CPF: 3169, Classe: saude, Prioridade: Alta, Idade: 54
CPF: 2593, Classe: saude, Prioridade: Importante, Idade: 62
CPF: 1663, Classe: saude, Prioridade: Alta, Idade: 37
CPF: 3072, Classe: saude, Prioridade: Importante, Idade: 91
CPF: 1057, Classe: saude, Prioridade: Importante, Idade: 94
CPF: 2578, Classe: saude, Prioridade: Importante, Idade: 61
CPF: 4474, Classe: saude, Prioridade: Alta, Idade: 25
CPF: 4022, Classe: saude, Prioridade: Alta, Idade: 50
CPF: 4561, Classe: saude, Prioridade: Importante, Idade: 96
CPF: 2613, Classe: saude, Prioridade: Alta, Idade: 58
CPF: 1640, Classe: saude, Prioridade: Alta, Idade: 39
CPF: 4927, Classe: saude, Prioridade: Alta, Idade: 58
CPF: 3219, Classe: saude, Prioridade: Importante, Idade: 96
CPF: 3741, Classe: saude, Prioridade: Alta, Idade: 35
CPF: 2085, Classe: saude, Prioridade: Alta, Idade: 40
CPF: 3190, Classe: saude, Prioridade: Importante, Idade: 88
CPF: 4703, Classe: saude, Prioridade: Importante, Idade: 97
